selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Company
120000,2012,1,120000,0,0,19.7,796.0,46.3,5.0,Maruti
550000,2016,1,20000,0,0,18.9,1197.0,82.0,5.0,Hyundai
215000,2010,1,60000,0,0,17.0,1197.0,80.0,5.0,Hyundai
225999,2012,1,37000,0,0,20.92,998.0,67.1,5.0,Maruti
570000,2015,0,30000,1,0,22.77,1498.0,98.59,5.0,Ford
350000,2013,1,35000,0,0,18.9,998.0,67.1,5.0,Maruti
315000,2013,0,40000,0,0,20.36,1197.0,78.9,5.0,Hyundai
409999,2018,0,17512,0,0,20.51,998.0,67.04,5.0,Maruti
1050000,2019,1,20000,0,1,18.15,998.0,118.35,5.0,Hyundai
575000,2017,0,70000,1,0,18.49,1493.0,100.0,7.0,Mahindra
305000,2015,1,50000,1,0,19.09,1405.0,69.01,5.0,Tata
1150000,2019,1,18000,1,0,20.37,1461.0,108.49,5.0,Renault
511000,2017,0,28321,0,0,16.6,1197.0,85.0,5.0,Maruti
409999,2016,0,27000,0,1,19.34,1198.0,76.0,5.0,Nissan
425000,2013,0,65278,1,0,22.32,1582.0,126.32,5.0,Hyundai
750000,2016,1,50000,1,0,19.64,1461.0,108.45,5.0,Renault
3250000,2017,0,6000,0,1,14.41,1998.0,189.08,5.0,others
650000,2016,0,76000,1,0,28.09,1248.0,88.5,5.0,Maruti
627000,2016,1,20000,1,0,25.2,1248.0,74.0,5.0,Maruti
1425000,2014,0,65000,1,1,19.27,2143.0,170.0,5.0,Mercedes-Benz
425000,2014,0,62200,1,0,28.4,1248.0,74.0,5.0,Maruti
605000,2013,1,110000,1,0,12.99,2494.0,100.6,8.0,Toyota
600000,2015,1,20000,0,0,21.4,1197.0,83.1,5.0,Maruti
575000,2016,1,40000,0,0,20.85,1197.0,83.14,5.0,Maruti
260000,2012,1,97000,1,0,17.8,1248.0,76.0,5.0,others
425000,2013,0,47000,0,0,16.09,1598.0,103.2,5.0,Volkswagen
229999,2013,0,25000,0,0,20.92,998.0,67.1,5.0,Maruti
1225000,2019,1,15000,1,0,19.67,1582.0,126.2,5.0,Hyundai
375000,2010,0,56823,1,0,14.02,2179.0,118.3,8.0,Mahindra
750000,2015,1,50000,0,0,17.4,1497.0,117.3,5.0,Honda
350000,2011,1,25000,1,0,13.6,2523.0,63.0,7.0,Mahindra
600000,2015,1,90000,1,0,26.59,1248.0,74.0,5.0,Maruti
390000,2013,0,45000,1,0,26.59,1248.0,74.0,5.0,Maruti
145000,2007,0,77253,0,0,17.7,1497.0,78.0,5.0,Honda
700000,2018,1,25000,0,0,17.19,1197.0,81.86,5.0,Hyundai
1150000,2013,1,110000,1,0,13.0,2982.0,168.5,7.0,Toyota
340000,2017,1,30000,0,0,23.01,999.0,67.0,5.0,Renault
465000,2016,0,39993,0,0,18.6,1199.0,88.76,5.0,Honda
